Student_ID , First_Name , Last_Name , Age , Gender , Course , Enrollment_Date , Total_Payments
101        | John       | Smith     | 22  | M      | Data Science   | 2022-05-15      | $1200,      | Ben   | Thompson    | 20  | M      | Web Development  | 2022-11-14      | $1050,Adeola,22,M,Data Analysis,1-Jul-22,"£20,000"
102        | Emily      | Johnson   | 24  | F      | Machine Learnin| 2022-03-18      | $1400,      | Ben   | Thompson    | 20  | M      | Web Development  | 2022-11-14      | $1050,Adeola,22,M,Data Analysis,1-Jul-22,"£20,000"
103        | Michael    | Williams  | 21  | M      | Data Science   | 2022-06-25      | $900,      | Ben   | Thompson    | 20  | M      | Web Development  | 2022-11-14      | $1050,Adeola,22,M,Data Analysis,1-Jul-22,"£20,000"
104        | Sarah      | Brown     | 23  | F      | Data Science   | NA              | $1100,      | Ben   | Thompson    | 20  | M      | Web Development  | 2022-11-14      | $1050,Adeola,22,M,Data Analysis,1-Jul-22,"£20,000"
105        | David      | Davis     | 20  | M      | Web Developmen | 2021-09-10      | $950,      | Ben   | Thompson    | 20  | M      | Web Development  | 2022-11-14      | $1050,Adeola,22,M,Data Analysis,1-Jul-22,"£20,000"
106        | Jessica    | Miller    | 25  | F      | Machine Learnin| 2022-04-22      | $1300,      | Ben   | Thompson    | 20  | M      | Web Development  | 2022-11-14      | $1050,Adeola,22,M,Data Analysis,1-Jul-22,"£20,000"
107        | Brian      | Wilson    | 19  | M      | Data Science   | 2022-07-02      | $1000,      | Ben   | Thompson    | 20  | M      | Web Development  | 2022-11-14      | $1050,Adeola,22,M,Data Analysis,1-Jul-22,"£20,000"
108        | Amanda     | Taylor    | 22  | F      | Machine Learnin| 2022-08-15      | $1200,      | Ben   | Thompson    | 20  | M      | Web Development  | 2022-11-14      | $1050,Adeola,22,M,Data Analysis,1-Jul-22,"£20,000"
109        | William    | Anderson  | 24  | M      | Data Science   | 2022-01-10      | $950,      | Ben   | Thompson    | 20  | M      | Web Development  | 2022-11-14      | $1050,Adeola,22,M,Data Analysis,1-Jul-22,"£20,000"
110        | Olivia     | Martinez  | 26  | F      | Data Science   | 2023-02-28      | $1150,      | Ben   | Thompson    | 20  | M      | Web Development  | 2022-11-14      | $1050,Adeola,22,M,Data Analysis,1-Jul-22,"£20,000"
111     | Williams     | Smith     | 22  | M      | Data Science   | 2022-05-15      | $1200,      | Ben   | Thompson    | 20  | M      | Web Development  | 2022-11-14      | $1050,Adeola,22,M,Data Analysis,1-Jul-22,"£20,000"
112     | Emily      | Emodi   | 24  | F      | Machine Learning | 2022-03-18     | $1400,      | Ben   | Thompson    | 20  | M      | Web Development  | 2022-11-14      | $1050,Adeola,22,M,Data Analysis,1-Jul-22,"£20,000"
113      | Esther   | Adams  | 21  | M      | Data Science   | 2022-06-25      | $900,      | Ben   | Thompson    | 20  | M      | Web Development  | 2022-11-14      | $1050,Adeola,22,M,Data Analysis,1-Jul-22,"£20,000"
114       | Sarah      | Brown     | 23  | F      | Data Science   | NA              | $1100,      | Ben   | Thompson    | 20  | M      | Web Development  | 2022-11-14      | $1050,Adeola,22,M,Data Analysis,1-Jul-22,"£20,000"
115      | David      | Davis     | 20  | M      | Web Development | 2021-09-10    | $950,      | Ben   | Thompson    | 20  | M      | Web Development  | 2022-11-14      | $1050,Adeola,22,M,Data Analysis,1-Jul-22,"£20,000"
Davis ,Davis ,Brown,22,M 25,Data Analytics,5/9/2023," ?20,000.00 "
Anita,Anita,West,22,F 24,4,5/1/2020," ?30,000.00 "
Olawale Akintola,Olawale Akintola,Adeola,22,M 20,Web Developmet,5/8/2021," ?30,000.00 "
Wike,Wike,Akintola,22,M 25,Data Analysis,6/5/2022," ?36,000.00 "
      | Ben   | Thompson    | 20  | M      | Web Development  | 2022-11-14      | $1050,      | Ben   | Thompson    | 20  | M      | Web Development  | 2022-11-14      | $1050,Leke,22,M 21,Data Analysis,7/9/2023," ?40,000.00 "
Ayodele,Ayodele,Adeola,F,18,Machine Learning,8/9/2023," ?37,440.00 "
      | Ben   | Thompson    | 20  | M      | Web Development  | 2022-11-14      | $1050,      | Ben   | Thompson    | 20  | M      | Web Development  | 2022-11-14      | $1050,Adeola,M,25,Data Analysis,9/9/2022," ?37,488.00 "
      | Ben   | Thompson    | 20  | M      | Web Development  | 2022-11-14      | $1050,      | Ben   | Thompson    | 20  | M      | Web Development  | 2022-11-14      | $1050,Adeola,F,25,Data Analysis,10/9/2021," ?37,497.60 "
      | Ben   | Thompson    | 20  | M      | Web Development  | 2022-11-14      | $1050,      | Ben   | Thompson    | 20  | M      | Web Development  | 2022-11-14      | $1050,Adeola,22,M,Data Analysis,11/9/2021,"£20,000"
101        | Ethan      | Miller     | 22  | M      | Data Science    | 2022-05-15      | $1200,101        | Ethan      | Miller     | 22  | M      | Data Science    | 2022-05-15      | $1200,Adeola,22,M,Data Analysis,1-Jul-22,"£20,000"
